,Year,State,County,Deaths,Population,Mortality Rate
456,2014,PA,York County,107.0,440475.0,0.00024291957545831205
457,2015,PA,Allegheny County,414.0,1228827.0,0.0003369066597657766
458,2015,PA,Armstrong County,26.0,66860.0,0.0003888722704157942
459,2015,PA,Beaver County,34.0,168241.0,0.00020209104796096075
460,2015,PA,Berks County,42.0,415138.0,0.00010117117681349334
461,2015,PA,Blair County,35.0,124596.0,0.0002809078943144242
462,2015,PA,Bucks County,149.0,625276.0,0.00023829476902999635
463,2015,PA,Butler County,52.0,185936.0,0.0002796661216762757
464,2015,PA,Cambria County,53.0,136028.0,0.0003896256653042021
465,2015,PA,Carbon County,14.0,63753.0,0.00021959750913682494
466,2015,PA,Centre County,13.0,160466.0,8.101404658930864e-05
467,2015,PA,Chester County,92.0,515055.0,0.00017862170059508207
468,2015,PA,Clearfield County,12.0,80718.0,0.00014866572511707427
469,2015,PA,Columbia County,11.0,66681.0,0.00016496453262548552
470,2015,PA,Crawford County,27.0,86510.0,0.00031210264709282163
471,2015,PA,Cumberland County,34.0,245744.0,0.00013835536167719253
472,2015,PA,Dauphin County,51.0,273085.0,0.00018675503963967263
473,2015,PA,Delaware County,195.0,563225.0,0.0003462204270051933
474,2015,PA,Erie County,51.0,278174.0,0.000183338485983593
475,2015,PA,Fayette County,46.0,133252.0,0.00034521057845285624
476,2015,PA,Franklin County,19.0,153048.0,0.00012414405938006377
477,2015,PA,Greene County,13.0,37402.0,0.0003475749959895193
478,2015,PA,Indiana County,32.0,86747.0,0.0003688888376543281
479,2015,PA,Jefferson County,11.0,44344.0,0.00024806061699440737
480,2015,PA,Lackawanna County,58.0,211863.0,0.0002737618177784701
481,2015,PA,Lancaster County,70.0,535811.0,0.00013064308123573423
482,2015,PA,Lawrence County,34.0,88122.0,0.00038582873743219626
483,2015,PA,Lebanon County,25.0,137479.0,0.00018184595465489274
484,2015,PA,Lehigh County,69.0,359710.0,0.0001918211892913736
485,2015,PA,Luzerne County,101.0,318059.0,0.00031755114617099345
486,2015,PA,Lycoming County,15.0,115598.0,0.0001297600304503538
487,2015,PA,Mc Kean County,11.0,,
488,2015,PA,Mercer County,11.0,113624.0,9.681053298598887e-05
489,2015,PA,Monroe County,36.0,166481.0,0.00021624089235408245
490,2015,PA,Montgomery County,158.0,817180.0,0.000193347854817788
491,2015,PA,Northampton County,80.0,300090.0,0.0002665866906594688
492,2015,PA,Northumberland County,15.0,92878.0,0.00016150218566291264
493,2015,PA,Philadelphia County,580.0,1571065.0,0.00036917632306747336
494,2015,PA,Pike County,12.0,55322.0,0.00021691189761758432
495,2015,PA,Schuylkill County,25.0,144117.0,0.000173470166600748
496,2015,PA,Somerset County,19.0,75383.0,0.0002520462173169017
497,2015,PA,Susquehanna County,10.0,41775.0,0.00023937761819269897
498,2015,PA,Venango County,12.0,52954.0,0.00022661177625863958
499,2015,PA,Washington County,66.0,207718.0,0.0003177384723519387
500,2015,PA,Wayne County,14.0,51823.0,0.00027015031935627036
501,2015,PA,Westmoreland County,130.0,356923.0,0.00036422421642763283
502,2015,PA,Wyoming County,10.0,27812.0,0.00035955702574428305
503,2015,PA,York County,84.0,441741.0,0.00019015667551800715
504,2003,NM,Bernalillo County,144.0,587049.0,0.00024529468579283844
505,2003,NM,Chaves County,18.0,61248.0,0.0002938871473354232
506,2003,NM,Dona Ana County,19.0,,
507,2003,NM,Rio Arriba County,12.0,40416.0,0.0002969121140142518
508,2003,NM,San Juan County,12.0,121553.0,9.872236802053425e-05
509,2003,NM,Sandoval County,11.0,99350.0,0.00011071967790639154
510,2003,NM,Santa Fe County,24.0,135213.0,0.00017749772581038807
511,2003,NM,Valencia County,17.0,68850.0,0.0002469135802469136
512,2004,NM,Bernalillo County,128.0,600449.0,0.00021317380826681365
